Elementos, 100000, 200000, 300000, 400000, 500000, 600000, 700000, 800000, 900000, 1000000
temposSeq,0.000220,0.000086,0.000323,0.000361,0.000291,0.000101,0.000489,0.001563,0.001407,0.000021
temposBin,0.000001,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001,0.000002,0.000002,0.000002
TemposLista,0.000121,0.000046,0.000578,0.000110,0.001596,0.000489,0.002796,0.001423,0.000374,0.003164
Elementos, 10000, 20000, 30000, 40000, 50000, 60000, 70000, 80000, 90000, 100000
TemposBolha,0.190672,0.821515,1.987228,3.695228,5.709104,8.416757,11.550940,14.726502,18.817361,24.166205
TemposSelecao,0.090657,0.362479,0.877799,1.521058,2.424250,3.391700,4.499577,5.956039,7.588011,9.806061
TemposInsercao,0.049767,0.198313,0.489432,0.839528,1.380624,1.994436,2.625054,3.264372,4.179998,5.506161
TemposQuick,0.000889,0.001860,0.003053,0.004135,0.005178,0.006275,0.007448,0.008173,0.009745,0.011280
TemposMerge,0.002476,0.002185,0.003560,0.004693,0.006679,0.008185,0.009336,0.009990,0.011649,0.014876
