Execucao, tempo(s), pos, valor
Sequencial:       1,         0.016443,         5793593,         1760251137
Binária:          1,         0.000004,         2524349,         11357033
Sequencial:       2,         0.019676,         6988295,         1774087179
Binária:          2,         0.000006,         9296695,         41833917
Sequencial:       3,         0.016681,         7289896,         4606024
Binária:          3,         0.000002,         9521243,         42844288
Sequencial:       4,         0.012165,         7774800,         1517150704
Binária:          4,         0.000003,         200860,         904401
Sequencial:       5,         0.001722,         1490016,         1427011865
Binária:          5,         0.000002,         6896266,         31030718
Sequencial:       6,         0.012040,         8470106,         1977447141
Binária:          6,         0.000002,         9669034,         43509583
Sequencial:       7,         0.005224,         4492911,         547944240
Binária:          7,         0.000003,         9996735,         44985516
Sequencial:       8,         0.009724,         6995705,         2124319499
Binária:          8,         0.000005,         8603246,         38714966
Sequencial:       9,         0.005460,         4263351,         1051473561
Binária:          9,         0.000004,         6068586,         27308126
Sequencial:       10,         0.010130,         8668195,         322285788
Binária:          10,         0.000003,         9257022,         41655334
Sequencial:       11,         0.001790,         1455624,         1573123827
Binária:          11,         0.000003,         8411614,         37852990
Sequencial:       12,         0.009619,         8318066,         1820214778
Binária:          12,         0.000003,         2038709,         9172044
Sequencial:       13,         0.010521,         8400569,         1069300846
Binária:          13,         0.000004,         5379667,         24209851
Sequencial:       14,         0.011429,         9319615,         2125225345
Binária:          14,         0.000005,         2242694,         10091310
Sequencial:       15,         0.009777,         8433190,         177533530
Binária:          15,         0.000004,         9868361,         44407532
Sequencial:       16,         0.012293,         -1,         1060801598
Binária:          16,         0.000002,         -1,         826743135
Sequencial:       17,         0.011642,         -1,         44909062
Binária:          17,         0.000001,         -1,         1000306246
Sequencial:       18,         0.011520,         -1,         778556183
Binária:          18,         0.000002,         -1,         1172198959
Sequencial:       19,         0.012068,         -1,         962343841
Binária:          19,         0.000001,         -1,         1996330983
Sequencial:       20,         0.011571,         -1,         394916171
Binária:          20,         0.000001,         -1,         1763833857
Sequencial:       21,         0.012232,         -1,         1785743600
Binária:          21,         0.000002,         -1,         713386277
Sequencial:       22,         0.011526,         -1,         2073502891
Binária:          22,         0.000001,         -1,         2140236511
Sequencial:       23,         0.012315,         -1,         1783383012
Binária:          23,         0.000002,         -1,         803014949
Sequencial:       24,         0.001248,         1066647,         1471356109
Binária:          24,         0.000000,         -1,         970162716
Sequencial:       25,         0.011565,         -1,         2089083535
Binária:          25,         0.000001,         -1,         862540657
Sequencial:       26,         0.011892,         -1,         1859419738
Binária:          26,         0.000001,         -1,         1793055511
Sequencial:       27,         0.011569,         -1,         213468623
Binária:          27,         0.000001,         -1,         1240254156
Sequencial:       28,         0.011533,         -1,         2035094220
Binária:          28,         0.000002,         -1,         571869193
Sequencial:       29,         0.012035,         -1,         1885633824
Binária:          29,         0.000001,         -1,         126930187
Sequencial:       30,         0.011535,         -1,         2054111887
Binária:          30,         0.000001,         -1,         1126583366
